Algorithm,Precision,Recall,Fmeasure_Score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H1,0.6240530303030303,0.5936936936936937,0.6084949215143122,0.1853146853146853,0.8146853146853147,0.4,powertoys
H1,0.5856929955290611,0.7081081081081081,0.6411092985318106,0.19230769230769232,0.8076923076923077,0.4,powertoys
H1,0.5250569476082004,0.8306306306306306,0.6434054431263083,0.22333916083916083,0.7766608391608392,0.4,powertoys
H1,0.6239316239316239,0.5918918918918918,0.6074895977808599,0.18553321678321677,0.8144667832167832,0.4,powertoys
H1,0.6240530303030303,0.5936936936936937,0.6084949215143122,0.1853146853146853,0.8146853146853147,0.4,powertoys
H1,0.625233644859813,0.6027027027027027,0.6137614678899082,0.1840034965034965,0.8159965034965035,0.4,powertoys
H2,0.6098484848484849,0.6035613870665417,0.6066886481394254,0.18247377622377622,0.8175262237762237,0.4,powertoys
H2,0.6098484848484849,0.6035613870665417,0.6066886481394254,0.18247377622377622,0.8175262237762237,0.4,powertoys
H2,0.6375176304654443,0.42361761949390814,0.5090090090090089,0.19055944055944055,0.8094405594405595,0.4,powertoys
H2,0.615530303030303,0.6091846298031866,0.6123410268487988,0.1798513986013986,0.8201486013986015,0.4,powertoys
H2,0.6334478808705613,0.5182755388940956,0.5701030927835051,0.18225524475524477,0.8177447552447552,0.4,powertoys
H2,0.6098484848484849,0.6035613870665417,0.6066886481394254,0.18247377622377622,0.8175262237762237,0.4,powertoys
H2,0.6069469835466179,0.6223055295220243,0.6145303100416474,0.18203671328671328,0.8179632867132867,0.4,powertoys
H2,0.580226904376013,0.6710402999062793,0.6223381138635377,0.18990384615384615,0.8100961538461539,0.4,powertoys
H2,0.6115859449192782,0.6035613870665417,0.6075471698113207,0.18181818181818182,0.8181818181818181,0.4,powertoys
H2,0.6189473684210526,0.5510777881911902,0.5830441249380267,0.18378496503496503,0.816215034965035,0.4,powertoys
H3,0.5957142857142858,0.7374005305039788,0.6590280521532991,0.18859265734265734,0.8114073426573427,0.4,powertoys
H3,0.5935943060498221,0.7374005305039788,0.6577287066246057,0.1896853146853147,0.8103146853146853,0.4,powertoys
H3,0.6172161172161172,0.5959328028293546,0.6063877642825012,0.19121503496503497,0.808784965034965,0.4,powertoys
H3,0.6160503540519277,0.6923076923076923,0.6519567027477102,0.18269230769230768,0.8173076923076923,0.4,powertoys
H3,0.6354166666666666,0.5932802829354553,0.6136259716506629,0.1846590909090909,0.8153409090909091,0.4,powertoys
